L,Temp,mean,sem
16,7.9,3.2943079424,0.014467282211796871
16,7.9,3.2943079424,0.014467282211796871
16,7.961,3.62197942272,0.009214936817967648
16,7.961,3.62197942272,0.009214936817967648
16,8.021,4.031055069183998,0.022136698308480314
16,8.021,4.031055069183998,0.022136698308480314
16,8.082,4.470865395712,0.01544626405242964
16,8.082,4.470865395712,0.01544626405242964
16,8.142000000000001,5.0053906432,0.024261043377549862
16,8.142000000000001,5.0053906432,0.024261043377549862
16,8.203,5.677678395392003,0.030192517100913713
16,8.203,5.677678395392003,0.030192517100913713
16,8.263,6.459474378751999,0.02483503066599621
16,8.263,6.459474378751999,0.02483503066599621
16,8.324,7.391015862272002,0.02875034367481734
16,8.324,7.391015862272002,0.02875034367481734
16,8.384,8.561346347007998,0.02428683303433209
16,8.384,8.561346347007998,0.02428683303433209
16,8.445,10.219741118464,0.03889761871731586
16,8.445,10.219741118464,0.03889761871731586
16,8.506,12.359342489600001,0.039369307754965166
16,8.506,12.359342489600001,0.039369307754965166
16,8.566,15.459631103999998,0.05074771908791914
16,8.566,15.459631103999998,0.05074771908791914
16,8.627,19.799896883199995,0.08769763945539974
16,8.627,19.799896883199995,0.08769763945539974
16,8.687000000000001,27.603388334080005,0.08352176664363355
16,8.687000000000001,27.603388334080005,0.08352176664363355
16,8.748,42.70969257984,0.14089588359704425
16,8.748,42.70969257984,0.14089588359704425
16,8.758969,47.32737168270222,0.04208427329172415
16,8.760228999999999,48.08239198663111,0.04058367830717098
16,8.761489,48.67609943153778,0.04356525234805309
16,8.762749000000001,49.387321498737776,0.04295080145262801
16,8.764009,50.07167284110225,0.04143521103911623
16,8.765269,50.80863080448,0.043938007718293724
16,8.766529,51.452663489422235,0.04452161098372104
16,8.767789,52.02458889784893,0.04327603521052761
16,8.769049,52.599945643804425,0.04466442812486624
16,8.770309,53.13859951729779,0.04567743761034832
16,8.77157,53.520852018062236,0.0446026931505148
16,8.77283,53.79044585927109,0.04625650555577684
16,8.77409,54.078330561422256,0.044797418018210335
16,8.77535,54.23030335715554,0.04330067254711722
16,8.77661,54.359597765973305,0.04447212365483321
16,8.77787,54.389417046471046,0.04242045517768895
16,8.77846,54.31171907584001,0.09976936606546741
16,8.77913,54.32451354168888,0.04295973868624384
16,8.780389999999999,54.24018485703115,0.04402409821632775
16,8.78165,54.18272179996444,0.04687764361272762
16,8.782910000000001,54.04483310933336,0.04435670758646632
16,8.78417,53.892760899128916,0.042991775681109824
16,8.78543,53.67768682040885,0.043587905886414396
16,8.786691000000001,53.46046869503999,0.04209140180874088
16,8.787951,53.319270090524384,0.04559194665863855
16,8.789211,53.16212927146671,0.041973902970692506
16,8.790471,52.87485578353773,0.042835016784419956
16,8.791731,52.645028750222224,0.042131776632047306
16,8.792991,52.44021886520889,0.04281627196997848
16,8.794251,52.17221756700446,0.04263995160647713
16,8.795511,51.97819940408893,0.04142336738060766
16,8.796771000000001,51.626940679964484,0.041764112846054156
16,8.798031,51.34377824711111,0.04223634234587037
16,8.808,49.341241753599995,0.16195999482477524
16,8.808,49.341241753599995,0.16195999482477524
16,8.869,39.28957321215999,0.11941317492972847
16,8.869,39.28957321215999,0.11941317492972847
16,8.929,32.73854746624,0.10588812042282426
16,8.929,32.73854746624,0.10588812042282426
16,8.99,27.873301626880004,0.1151211669895796
16,8.99,27.873301626880004,0.1151211669895796
16,9.05,24.24177426432,0.07698844965846986
16,9.05,24.24177426432,0.07698844965846986
16,9.111,21.59416639488001,0.05387090937151874
16,9.111,21.59416639488001,0.05387090937151874
16,9.172,19.515517173760003,0.08042933848368837
16,9.172,19.515517173760003,0.08042933848368837
16,9.232000000000001,17.67776976896,0.055601605560998926
16,9.232000000000001,17.67776976896,0.055601605560998926
16,9.293,16.25080070144,0.034564130658539235
16,9.293,16.25080070144,0.034564130658539235
16,9.353,14.97920831488,0.05422763776785226
16,9.353,14.97920831488,0.05422763776785226
16,9.414,13.96310605824,0.04625734647559545
16,9.414,13.96310605824,0.04625734647559545
16,9.474,13.090044641280002,0.05811721442793221
16,9.474,13.090044641280002,0.05811721442793221
16,9.535,12.252665610240006,0.03904484740780633
16,9.535,12.252665610240006,0.03904484740780633
16,9.595,11.570773360639999,0.060733352999129825
16,9.595,11.570773360639999,0.060733352999129825
16,9.656,10.909675683839998,0.022480224700427043
16,9.656,10.909675683839998,0.022480224700427043
